date,invoice,vendor,account,amount
2026-03-01,INV-770,Northstar Supplies,ACC-4021,84000
2026-03-02,INV-771,Meridian Logistics,ACC-3310,52000
2026-03-03,INV-791,Northstar Supplies,ACC-4021,2340000
2026-03-03,INV-772,Blueharbor Corp,ACC-2288,17500
2026-03-04,INV-791,Northstar Supplies,ACC-4021,2340000
2026-03-05,INV-773,Meridian Logistics,ACC-3310,61000
2026-03-06,INV-774,Arclight Holdings,ACC-9002,9800
2026-03-08,INV-775,Northstar Supplies,ACC-4021,44000
2026-03-10,INV-776,Blueharbor Corp,ACC-2288,23000
2026-03-11,INV-777,Meridian Logistics,ACC-3310,58000
2026-03-13,INV-778,Arclight Holdings,ACC-9002,12500
2026-03-15,INV-779,Northstar Supplies,ACC-4021,76000
2026-03-18,INV-780,Blueharbor Corp,ACC-2288,15400
2026-03-20,INV-781,Meridian Logistics,ACC-3310,64000
2026-03-22,INV-782,Arclight Holdings,ACC-9002,8800
